,weight,score,udstatus,tradestatus,amt
000828.SZ,0.0,-5940.0,0.0,4,32246167.0
000829.SZ,0.0,-5940.0,0.0,4,457008492.0
000830.SZ,0.0,-5940.0,0.0,4,124154917.0
000831.SZ,0.0,-1137.0,0.0,4,1349321253.0
000833.SZ,0.0,-5940.0,0.0,4,112636796.0
000836.SZ,0.0,-5940.0,0.0,4,73246623.0
000837.SZ,0.0,-5940.0,0.0,4,638407626.0
000838.SZ,0.0,-5940.0,0.0,4,105360592.0
000839.SZ,0.0,-5940.0,0.0,4,46589401.0
000848.SZ,0.0,-5940.0,0.0,4,79750713.0
000850.SZ,0.0,-5940.0,0.0,4,15446929.0
000851.SZ,0.0,-5940.0,0.0,4,407461255.0
000852.SZ,0.0,-5940.0,0.0,4,90049409.0
000856.SZ,0.0,-5940.0,0.0,4,36015045.0
000858.SZ,0.0,-5940.0,0.0,4,2889971045.0
000859.SZ,0.0,-5940.0,0.0,4,46035898.0
000860.SZ,0.0,-5940.0,0.0,4,395495796.0
000861.SZ,0.0,-5940.0,0.0,4,34683526.0
000862.SZ,0.0,-1137.0,0.0,4,106197813.0
000863.SZ,0.0,-462.0,0.0,4,56790617.0
000868.SZ,0.0,-5940.0,0.0,4,79118342.0
000869.SZ,0.0,-5940.0,0.0,4,45243854.0
000875.SZ,0.0,-1137.0,0.0,4,148297468.0
000876.SZ,0.0,-5940.0,0.0,4,681449510.0
000877.SZ,0.0,-5940.0,0.0,4,63700955.0
000878.SZ,0.0,-462.0,0.0,4,293522206.0
000880.SZ,0.0,-5940.0,0.0,4,34860758.0
000881.SZ,0.0,-5940.0,0.0,4,53873839.0
000882.SZ,0.0,-5940.0,0.0,4,31899488.0
000883.SZ,0.0,-5940.0,0.0,4,56316707.0
000885.SZ,0.0,-5940.0,0.0,4,68839213.0
000886.SZ,0.0,-5940.0,0.0,4,547453240.0
000887.SZ,0.0,-5940.0,0.0,4,186950073.0
000888.SZ,0.0,-5940.0,0.0,4,126685026.0
000889.SZ,0.0,-5940.0,0.0,4,23078163.0
000890.SZ,0.0,-5940.0,0.0,4,223625580.0
000892.SZ,0.0,-462.0,0.0,4,147256132.0
000893.SZ,0.0,-1137.0,0.0,4,236698804.0
000895.SZ,0.0,-5940.0,0.0,4,274307919.0
000897.SZ,0.0,-5940.0,0.0,4,34282642.0
000898.SZ,0.0,-5940.0,0.0,4,78192063.0
000899.SZ,0.0,-462.0,0.0,4,53047845.0
000900.SZ,0.0,-5940.0,0.0,4,67974378.0
000901.SZ,0.0,-5940.0,0.0,4,279978490.0
000902.SZ,0.0,-5940.0,0.0,4,79121612.0
000903.SZ,0.0,-5940.0,0.0,4,30424526.0
000905.SZ,0.0,-5940.0,0.0,4,57681843.0
000906.SZ,0.0,-5940.0,0.0,4,43386999.0
000908.SZ,0.0,-5940.0,0.0,4,20501419.0
000909.SZ,0.0,-5940.0,0.0,4,90029094.0
000910.SZ,0.0,-5940.0,0.0,4,53378561.0
000911.SZ,0.0,-5940.0,1.0,4,323271314.0
000912.SZ,0.0,-5940.0,0.0,4,40699098.0
000913.SZ,0.0,-1137.0,0.0,4,179356076.0
000915.SZ,0.0,-5940.0,0.0,4,214046174.0
000917.SZ,0.0,-5940.0,0.0,4,96779512.0
000918.SZ,0.0,-5940.0,0.0,4,31374061.0
000919.SZ,0.0,-5940.0,0.0,4,61251908.0
000920.SZ,0.0,-5940.0,0.0,4,32083236.0
000921.SZ,0.0,-5940.0,0.0,4,78292997.0
000922.SZ,0.0,-97.0,0.0,4,83081116.0
000923.SZ,0.0,-5940.0,0.0,4,91201664.0
000925.SZ,0.0,-5940.0,0.0,4,176134928.0
000926.SZ,0.0,-5940.0,0.0,4,41303279.0
000927.SZ,0.0,-5940.0,0.0,4,192802828.0
000928.SZ,0.0,-5940.0,0.0,4,297085739.0
000929.SZ,0.0,-5940.0,0.0,4,58469372.0
000930.SZ,0.0,-5940.0,0.0,4,83873909.0
000931.SZ,0.0,-5940.0,0.0,4,22371860.0
000932.SZ,0.0,-5940.0,0.0,4,181350179.0
000933.SZ,0.0,-1137.0,0.0,4,426925952.0
000935.SZ,0.0,-5940.0,0.0,4,66296574.0
000936.SZ,0.0,-5940.0,0.0,4,1096502900.0
000937.SZ,0.0,-1137.0,0.0,4,118361708.0
000938.SZ,0.0,-5940.0,0.0,4,2654357517.0
000948.SZ,0.0,-5940.0,0.0,4,593889830.0
000949.SZ,0.0,-5940.0,0.0,4,29739778.0
000950.SZ,0.0,-5940.0,0.0,4,87402282.0
000951.SZ,0.0,-5940.0,0.0,4,229244074.0
000952.SZ,0.0,-5940.0,0.0,4,32286801.0
000953.SZ,0.0,-5940.0,0.0,4,21932371.0
000955.SZ,0.0,-5940.0,0.0,4,23181208.0
000957.SZ,0.0,-1137.0,0.0,4,135497800.0
000958.SZ,0.0,-5940.0,0.0,4,46764271.0
000959.SZ,0.0,-5940.0,0.0,4,41172110.0
000960.SZ,0.0,-5940.0,0.0,4,264690638.0
000961.SZ,0.0,-5940.0,0.0,4,79607970.0
000962.SZ,0.0,-1137.0,0.0,4,119487250.0
000963.SZ,0.0,-5940.0,0.0,4,223049927.0
000965.SZ,0.0,-1137.0,1.0,4,62955118.0
000966.SZ,0.0,-462.0,0.0,4,47449798.0
000967.SZ,0.0,-5940.0,0.0,4,40236567.0
000968.SZ,0.0,-1137.0,0.0,4,43921800.0
000969.SZ,0.0,-5940.0,0.0,4,272203302.0
000970.SZ,0.0,-1137.0,0.0,4,221383209.0
000971.SZ,0.0,-5940.0,0.0,4,9838251.0
000972.SZ,0.0,-1137.0,0.0,4,16192332.0
000973.SZ,0.0,-5940.0,0.0,4,55392202.0
000975.SZ,0.0,-5940.0,0.0,4,817997344.0
000976.SZ,0.0,-5940.0,0.0,4,28093928.0
000977.SZ,0.0,-5940.0,0.0,4,7417396067.0
000978.SZ,0.0,-5940.0,0.0,4,112852562.0
000980.SZ,0.0,-5940.0,0.0,4,148294309.0
000981.SZ,0.0,-5940.0,0.0,4,55338318.0
000982.SZ,0.0,-5940.0,0.0,4,88294650.0
000983.SZ,0.0,-462.0,0.0,4,277067220.0
000985.SZ,0.0,-5940.0,0.0,4,17267076.0
000987.SZ,0.0,-5940.0,0.0,4,403935203.0
000988.SZ,0.0,-5940.0,0.0,4,5240302024.0
000989.SZ,0.0,-5940.0,0.0,4,966368229.0
000990.SZ,0.0,-5940.0,0.0,4,54130919.0
000993.SZ,0.0,-1137.0,0.0,4,50188194.0
000995.SZ,0.0,-5940.0,0.0,4,22740732.0
000996.SZ,0.0,-5940.0,0.0,4,37709257.0
000997.SZ,0.0,-5940.0,0.0,4,129426611.0
000998.SZ,0.0,-5940.0,0.0,4,253043562.0
000999.SZ,0.0,-5940.0,0.0,4,511691235.0
001201.SZ,0.0,-5940.0,0.0,4,96297061.0
001202.SZ,0.0,-5940.0,0.0,4,13747196.0
001203.SZ,0.0,-5940.0,0.0,4,73918570.0
001205.SZ,0.0,-5940.0,0.0,4,33251106.0
001206.SZ,0.0,-5940.0,0.0,4,25086122.0
001207.SZ,0.0,-5940.0,0.0,4,23428763.0
001208.SZ,0.0,-5940.0,0.0,4,31156675.0
001209.SZ,0.0,-5940.0,0.0,4,12495999.0
001210.SZ,0.0,-5940.0,0.0,4,10053325.0
001211.SZ,0.0,-5940.0,0.0,4,7959639.0
001212.SZ,0.0,-5940.0,0.0,4,85536276.0
001213.SZ,0.0,-5940.0,0.0,4,85527191.0
001215.SZ,0.0,-5940.0,0.0,4,55359807.0
001216.SZ,0.0,-5940.0,0.0,4,17727715.0
001217.SZ,0.0,-5940.0,0.0,4,18564607.0
001218.SZ,0.0,-5940.0,0.0,4,9962254.0
001219.SZ,0.0,-5940.0,0.0,4,33382466.0
001222.SZ,0.0,-5940.0,0.0,4,20676678.0
001223.SZ,0.0,-5940.0,0.0,4,71026645.0
001225.SZ,0.0,-5940.0,0.0,4,31437611.0
001226.SZ,0.0,-5940.0,0.0,4,16312962.0
001227.SZ,0.0,-5940.0,0.0,4,138565009.0
001228.SZ,0.0,-462.0,0.0,4,38394066.0
001229.SZ,0.0,-5940.0,0.0,4,78006062.0
001230.SZ,0.0,-5940.0,0.0,4,10087857.0
001231.SZ,0.0,-5940.0,0.0,4,9750636.0
001234.SZ,0.0,-5940.0,0.0,4,12712529.0
001236.SZ,0.0,-5940.0,0.0,4,105625235.0
001238.SZ,0.0,-5940.0,0.0,4,24008785.0
001255.SZ,0.0,-5940.0,0.0,4,92678511.0
001256.SZ,0.0,-5940.0,0.0,4,19336963.0
001258.SZ,0.0,-5940.0,0.0,4,47518430.0
001259.SZ,0.0,-5940.0,0.0,4,16086274.0
001260.SZ,0.0,-5940.0,0.0,4,97298905.0
001266.SZ,0.0,-5940.0,0.0,4,43569840.0
001267.SZ,0.0,-5940.0,0.0,4,41567416.0
001268.SZ,0.0,-5940.0,0.0,4,28373741.0
