,weight,score,udstatus,tradestatus,amt,no_sell,no_buy,rank,w_lim,tgt_pos,tgt_trade,w_buy,w_sell
301042.SZ,-0.0,-5732.0,0.0,4,18770333.0,False,False,2828,0.00012245942412315514,0.0,0.0,0.0,0.0
301043.SZ,0.0,-5734.0,0.0,4,7144419.0,False,False,2829,4.66108638794276e-05,0.0,0.0,0.0,0.0
301045.SZ,-0.0,-5736.0,0.0,4,16386726.0,False,False,2830,0.00010690854707926244,0.0,0.0,0.0,0.0
301046.SZ,-0.0,-5738.0,0.0,4,97882245.0,False,False,2831,0.0006385930049606249,0.0,0.0,0.0,0.0
301047.SZ,-0.0,-5740.0,0.0,4,102792213.0,False,False,2832,0.0006706260996181954,0.0,0.0,0.0,0.0
301048.SZ,0.0,-5742.0,0.0,4,26358084.0,False,False,2833,0.00017196262781431473,0.0,0.0,0.0,0.0
301049.SZ,0.0,-5744.0,0.0,4,8970737.0,False,False,2834,5.8525934887797697e-05,0.0,0.0,0.0,0.0
301050.SZ,0.0,-5746.0,0.0,4,184013197.0,False,False,2835,0.0012005194652476702,0.0,0.0,0.0,0.0
301051.SZ,-0.0,-5748.0,0.0,4,44002383.0,False,False,2836,0.0002870756998411542,0.0,0.0,0.0,0.0
301052.SZ,-0.0,-5750.0,0.0,4,468892848.0,False,False,2837,0.003059101196635463,0.0,0.0,0.0,0.0
301053.SZ,-0.0,-5752.0,0.0,4,12272163.0,False,False,2838,8.006474971570786e-05,0.0,0.0,0.0,0.0
301055.SZ,0.0,-5754.0,0.0,4,18181427.0,False,False,2839,0.00011861734579547333,0.0,0.0,0.0,0.0
301056.SZ,0.0,-5756.0,0.0,4,17180281.0,False,False,2840,0.0001120857747986668,0.0,0.0,0.0,0.0
301057.SZ,-0.0,-5758.0,0.0,4,7414466.0,False,False,2841,4.837267599571695e-05,0.0,0.0,0.0,0.0
301058.SZ,-0.0,-5760.0,0.0,4,83065773.0,False,False,2842,0.0005419289431852237,0.0,0.0,0.0,0.0
301059.SZ,0.0,-5762.0,0.0,4,34565918.0,False,False,2843,0.00022551131152378609,0.0,0.0,0.0,0.0
301061.SZ,-0.0,-5764.0,0.0,4,44190932.0,False,False,2844,0.000288305811313284,0.0,0.0,0.0,0.0
301062.SZ,-0.0,-5766.0,0.0,4,29426576.0,False,False,2845,0.00019198175924083275,0.0,0.0,0.0,0.0
301063.SZ,0.0,-5768.0,0.0,4,22905511.0,False,False,2846,0.0001494377156924491,0.0,0.0,0.0,0.0
301065.SZ,-0.0,-5770.0,0.0,4,8050064.0,False,False,2847,5.251937733840645e-05,0.0,0.0,0.0,0.0
301066.SZ,0.0,-5772.0,0.0,4,54531488.0,False,False,2848,0.00035576857464695726,0.0,0.0,0.0,0.0
301067.SZ,-0.0,-5774.0,0.0,4,47852091.0,False,False,2849,0.0003121915581864645,0.0,0.0,0.0,0.0
301068.SZ,0.0,-5776.0,0.0,4,28151131.0,False,False,2850,0.0001836606356784134,0.0,0.0,0.0,0.0
301069.SZ,-0.0,-5778.0,0.0,4,44982850.0,False,False,2851,0.0002934723590901807,0.0,0.0,0.0,0.0
301070.SZ,-0.0,-5780.0,0.0,4,24351616.0,False,False,2852,0.00015887224120255143,0.0,0.0,0.0,0.0
301072.SZ,0.0,-5782.0,0.0,4,22687755.0,False,False,2853,0.00014801705499562705,0.0,0.0,0.0,0.0
301073.SZ,-0.0,-5784.0,0.0,4,249858325.0,False,False,2854,0.0016300992950884854,0.0,0.0,0.0,0.0
301075.SZ,-0.0,-5786.0,0.0,4,20835846.0,False,False,2855,0.0001359350258878596,0.0,0.0,0.0,0.0
301077.SZ,0.0,-5788.0,0.0,4,19506199.0,False,False,2856,0.0001272602833616039,0.0,0.0,0.0,0.0
301078.SZ,-0.0,-5790.0,0.0,4,42852063.0,False,False,2857,0.0002795709035886131,0.0,0.0,0.0,0.0
301079.SZ,-0.0,-5792.0,0.0,4,10800613.0,False,False,2858,7.046421862398835e-05,0.0,0.0,0.0,0.0
301080.SZ,0.0,-5794.0,0.0,4,113094463.0,False,False,2859,0.0007378389509923706,0.0,0.0,0.0,0.0
301081.SZ,0.0,-5796.0,0.0,4,5231300.0,False,False,2860,3.4129494954376216e-05,0.0,0.0,0.0,0.0
301082.SZ,-0.0,-5798.0,0.0,4,195654065.0,False,False,2861,0.0012764655867988257,0.0,0.0,0.0,0.0
301083.SZ,0.0,-5800.0,0.0,4,28513903.0,False,False,2862,0.00018602739444651865,0.0,0.0,0.0,0.0
301085.SZ,0.0,-5802.0,0.0,4,139815626.0,False,False,2863,0.0009121703404717667,0.0,0.0,0.0,0.0
301086.SZ,0.0,-5804.0,0.0,4,29802387.0,False,False,2864,0.00019443358567561934,0.0,0.0,0.0,0.0
301087.SZ,0.0,-5806.0,0.0,4,97432207.0,False,False,2865,0.0006356569145719496,0.0,0.0,0.0,0.0
301088.SZ,0.0,-5808.0,0.0,4,15717552.0,False,False,2866,0.00010254279274351422,0.0,0.0,0.0,0.0
301091.SZ,0.0,-5810.0,0.0,4,198278336.0,False,False,2867,0.001293586578493704,0.0,0.0,0.0,0.0
301092.SZ,0.0,-5812.0,0.0,4,27916361.0,False,False,2868,0.00018212897403973105,0.0,0.0,0.0,0.0
301093.SZ,-0.0,-5814.0,0.0,4,109139959.0,False,False,2869,0.0007120393936519274,0.0,0.0,0.0,0.0
301097.SZ,0.0,-5816.0,0.0,4,16811383.0,False,False,2870,0.00010967904942836124,0.0,0.0,0.0,0.0
301098.SZ,0.0,-5818.0,0.0,4,13485064.0,False,False,2871,8.797783031893419e-05,0.0,0.0,0.0,0.0
301100.SZ,0.0,-5820.0,0.0,4,16408590.0,False,False,2872,0.00010705118987888825,0.0,0.0,0.0,0.0
301101.SZ,-0.0,-5822.0,0.0,4,46582520.0,False,False,2873,0.0003039087571544605,0.0,0.0,0.0,0.0
301102.SZ,-0.0,-5824.0,0.0,4,31513110.0,False,False,2874,0.00020559450399359677,0.0,0.0,0.0,0.0
301103.SZ,-0.0,-5826.0,0.0,4,103945244.0,False,False,2875,0.0006781485826906133,0.0,0.0,0.0,0.0
301105.SZ,-0.0,-5828.0,0.0,4,6749699.0,False,False,2876,4.403567334392182e-05,0.0,0.0,0.0,0.0
301106.SZ,-0.0,-5830.0,0.0,4,17517460.0,False,False,2877,0.00011428556241918591,0.0,0.0,0.0,0.0
301107.SZ,0.0,-5832.0,0.0,4,13096445.0,False,False,2878,8.54424432832691e-05,0.0,0.0,0.0,0.0
301108.SZ,0.0,-5834.0,0.0,4,21023225.0,False,False,2879,0.00013715750416955937,0.0,0.0,0.0,0.0
301109.SZ,0.0,-5836.0,0.0,4,17511949.0,False,False,2880,0.00011424960813503216,0.0,0.0,0.0,0.0
301110.SZ,0.0,-5838.0,0.0,4,202652156.0,False,False,2881,0.0013221217929951375,0.0,0.0,0.0,0.0
301111.SZ,0.0,-5840.0,0.0,4,43207473.0,False,False,2882,0.0002818896319738586,0.0,0.0,0.0,0.0
301112.SZ,-0.0,-5842.0,0.0,4,39838221.0,False,False,2883,0.00025990831392021577,0.0,0.0,0.0,0.0
301113.SZ,0.0,-5844.0,0.0,4,6523808.0,False,False,2884,4.256193913928072e-05,0.0,0.0,0.0,0.0
301115.SZ,0.0,-5846.0,0.0,4,15211166.0,False,False,2885,9.923908268445302e-05,0.0,0.0,0.0,0.0
301116.SZ,-0.0,-5848.0,0.0,4,36776803.0,False,False,2886,0.0002399353339373747,0.0,0.0,0.0,0.0
301117.SZ,0.0,-5850.0,0.0,4,61695606.0,False,False,2887,0.00040250795666166793,0.0,0.0,0.0,0.0
301118.SZ,0.0,-5852.0,0.0,4,41410345.0,False,False,2888,0.00027016499928057624,0.0,0.0,0.0,0.0
301120.SZ,-0.0,-5854.0,0.0,4,71834998.0,False,False,2889,0.0004686583070725491,0.0,0.0,0.0,0.0
301121.SZ,0.0,-5856.0,0.0,4,70754742.0,False,False,2890,0.0004616106149689735,0.0,0.0,0.0,0.0
301122.SZ,-0.0,-5858.0,0.0,4,40577369.0,False,False,2891,0.00026473058523643496,0.0,0.0,0.0,0.0
301123.SZ,0.0,-5860.0,0.0,4,72163700.0,False,False,2892,0.00047080278994496955,0.0,0.0,0.0,0.0
301125.SZ,0.0,-5862.0,0.0,4,13665589.0,False,False,2893,8.915559245772164e-05,0.0,0.0,0.0,0.0
301126.SZ,0.0,-5864.0,0.0,4,35885921.0,False,False,2894,0.00023412313568379632,0.0,0.0,0.0,0.0
301127.SZ,-0.0,-5866.0,0.0,4,25325041.0,False,False,2895,0.00016522295777892128,0.0,0.0,0.0,0.0
301128.SZ,0.0,-5868.0,0.0,4,7936465.0,False,False,2896,5.177824674040553e-05,0.0,0.0,0.0,0.0
301129.SZ,0.0,-5870.0,0.0,4,19091677.0,False,False,2897,0.00012455590270909345,0.0,0.0,0.0,0.0
301130.SZ,0.0,-5872.0,0.0,4,21046416.0,False,False,2898,0.0001373088044424336,0.0,0.0,0.0,0.0
301131.SZ,0.0,-5874.0,0.0,4,11584612.0,False,False,2899,7.557910209745305e-05,0.0,0.0,0.0,0.0
301132.SZ,0.0,-5876.0,0.0,4,104140534.0,False,False,2900,0.0006794226730829899,0.0,0.0,0.0,0.0
301133.SZ,0.0,-5878.0,0.0,4,14003524.0,False,False,2901,9.136031229359553e-05,0.0,0.0,0.0,0.0
301135.SZ,-0.0,-5880.0,0.0,4,34203106.0,False,False,2902,0.00022314429179190546,0.0,0.0,0.0,0.0
301136.SZ,0.0,-5882.0,0.0,4,46411700.0,False,False,2903,0.000302794311351676,0.0,0.0,0.0,0.0
301137.SZ,0.0,-5884.0,0.0,4,30078899.0,False,False,2904,0.00019623757606210542,0.0,0.0,0.0,0.0
301138.SZ,-0.0,-5886.0,0.0,4,18227673.0,False,False,2905,0.00011891905906438545,0.0,0.0,0.0,0.0
301139.SZ,-0.0,-5888.0,0.0,4,32804432.0,False,False,2906,0.0002140192106025611,0.0,0.0,0.0,0.0
301141.SZ,0.0,-5890.0,0.0,4,373877646.0,False,False,2907,0.0024392130508116643,0.0,0.0,0.0,0.0
301148.SZ,0.0,-5892.0,0.0,4,13318186.0,False,False,2908,8.688910249621395e-05,0.0,0.0,0.0,0.0
301149.SZ,-0.0,-5894.0,0.0,4,13713183.0,False,False,2909,8.946610020586426e-05,0.0,0.0,0.0,0.0
301150.SZ,-0.0,-5896.0,0.0,4,35454064.0,False,False,2910,0.00023130565985512812,0.0,0.0,0.0,0.0
301151.SZ,-0.0,-5898.0,0.0,4,8298778.0,False,False,2911,5.414201094918823e-05,0.0,0.0,0.0,0.0
301152.SZ,-0.0,-5900.0,0.0,4,31997488.0,False,False,2912,0.00020875463178344076,0.0,0.0,0.0,0.0
301155.SZ,-0.0,-5902.0,0.0,4,228216046.0,False,False,2913,0.0014889030241937362,0.0,0.0,0.0,0.0
301156.SZ,0.0,-5904.0,0.0,4,21516870.0,False,False,2914,0.00014037809074206583,0.0,0.0,0.0,0.0
301157.SZ,-0.0,-5906.0,0.0,4,202808540.0,False,False,2915,0.0013231420569713853,0.0,0.0,0.0,0.0
301158.SZ,0.0,-5908.0,0.0,4,33666684.0,False,False,2916,0.0002196446240339072,0.0,0.0,0.0,0.0
301159.SZ,0.0,-5910.0,0.0,4,96362105.0,False,False,2917,0.0006286754681227556,0.0,0.0,0.0,0.0
301160.SZ,-0.0,-5912.0,0.0,4,15592349.0,False,False,2918,0.00010172595655427392,0.0,0.0,0.0,0.0
301161.SZ,0.0,-5914.0,0.0,4,71096733.0,False,False,2919,0.00046384179653167156,0.0,0.0,0.0,0.0
301162.SZ,-0.0,-5916.0,0.0,4,42009303.0,False,False,2920,0.0002740726578050125,0.0,0.0,0.0,0.0
301163.SZ,-0.0,-5918.0,0.0,4,17192731.0,False,False,2921,0.00011216699977375559,0.0,0.0,0.0,0.0
