,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,last_roe
214,301301,2022-12-31,1145,川宁生物,2023-04-04,,,,2023-04-04,269.582574068203,411518000.0,8.27,2023-03-13,2023-03-15,20 days,2,2021-12-31,2.36
218,301356,2022-12-31,2881,天振股份,2023-04-25,,,,2023-04-25,46.83077125745,410172200.0,25.68,2023-01-20,2023-03-15,41 days,1,2021-12-31,25.84
222,600021,2022-12-31,922,上海电力,2023-03-31,,,,2023-03-31,117.472900684104,320768000.0,1.22,2023-03-13,2023-03-15,16 days,2,2021-12-31,-12.74
226,600188,2022-12-31,383,兖矿能源,2023-03-25,,,,2023-03-25,89.197140422961,30761389000.0,38.67,2023-03-07,2023-03-15,10 days,3,2021-12-31,27.78
227,600233,2022-12-31,3253,圆通速递,2023-04-26,,,,2023-04-26,86.343313259955,3919561100.0,15.91,2023-01-10,2023-03-15,42 days,1,2021-12-31,11.72
232,600312,2022-12-31,2188,平高电气,2023-04-21,,,,2023-04-21,199.679059085534,212095564.31,2.3,2023-03-13,2023-03-15,37 days,1,2021-12-31,0.78
234,600348,2022-12-31,1611,华阳股份,2023-04-15,,,,2023-04-15,98.95030749009,7025533800.0,31.36,2023-03-14,2023-03-15,31 days,1,2021-12-31,19.41
235,600353,2022-12-31,1408,旭光电子,2023-04-12,,,,2023-04-12,73.273032681745,100413497.5,9.34,2023-03-13,2023-03-15,28 days,1,2021-12-31,4.96
237,600566,2022-12-31,1288,济川药业,2023-04-10,,,,2023-04-10,27.708310708637,2195530500.0,22.14,2023-01-20,2023-03-15,26 days,1,2021-12-31,20.46
241,600648,2022-12-31,967,外高桥,2023-03-31,2023-04-13,,,2023-04-13,32.35963290926,1240353900.0,10.62,2023-03-04,2023-03-15,16 days,2,2021-12-31,8.27
245,600794,2022-12-31,493,保税科技,2023-03-28,,,,2023-03-28,62.171970025109,163387968.88,7.14,2023-03-13,2023-03-15,13 days,2,2021-12-31,4.57
247,600850,2022-12-31,2916,电科数字,2023-04-25,,,,2023-04-25,30.669249559683,520000500.0,13.4,2023-03-04,2023-03-15,41 days,1,2021-12-31,12.49
248,600853,2022-12-31,984,龙建股份,2023-03-31,,,,2023-03-31,30.177071969818,349963601.61,13.86,2023-02-23,2023-03-15,16 days,2,2021-12-31,10.58
249,600867,2022-12-31,2204,通化东宝,2023-04-21,,,,2023-04-21,21.458666060464,1588988100.0,24.6,2023-02-07,2023-03-15,37 days,1,2021-12-31,22.08
253,600908,2022-12-31,705,无锡银行,2023-03-30,,,,2023-03-30,26.642283333154,2001000000.0,13.01,2023-01-14,2023-03-15,15 days,2,2021-12-31,11.41
256,601065,2022-12-31,3725,江盐集团,2023-04-27,,,,2023-04-27,133.915420084282,425547600.0,,2023-03-14,2023-03-15,43 days,1,2021-12-31,11.07
259,601133,2022-12-31,3726,柏诚股份,2023-04-27,,,,2023-04-27,65.184111225072,250848800.0,,2023-03-14,2023-03-15,43 days,1,2021-12-31,15.62
262,601225,2022-12-31,3728,陕西煤业,2023-04-27,,,,2023-04-27,64.098700269119,35148861500.0,32.88,2023-03-07,2023-03-15,43 days,1,2021-12-31,24.03
265,601633,2022-12-31,1015,长城汽车,2023-03-31,,,,2023-03-31,23.089503419566,8279000000.0,12.6,2023-02-03,2023-03-15,16 days,2,2021-12-31,11.26
267,601666,2022-12-31,403,平煤股份,2023-03-25,2023-04-20,2023-04-08,2023-04-07,2023-04-07,95.903727704478,5724840018.12,29.21,2023-03-13,2023-03-15,10 days,3,2021-12-31,17.09
268,601699,2022-12-31,4903,潞安环能,2023-06-30,2023-04-27,,,2023-04-27,110.489121896399,14168261700.0,33.99,2023-03-08,2023-03-15,107 days,1,2021-12-31,21.7
271,601869,2022-12-31,4733,长飞光纤,2023-04-29,2023-04-01,,,2023-04-01,65.021156558533,1170000000.0,11.88,2023-03-09,2023-03-15,45 days,1,2021-12-31,7.52
276,603056,2022-12-31,2216,德邦股份,2023-04-21,,,,2023-04-21,339.886812705619,649955200.0,9.69,2023-03-10,2023-03-15,37 days,1,2021-12-31,2.38
278,603078,2022-12-31,4757,江化微,2023-04-29,2023-04-15,2023-04-10,,2023-04-10,87.061763264122,105704300.0,8.24,2023-03-13,2023-03-15,45 days,1,2021-12-31,4.99
280,603125,2022-12-31,4766,常青科技,2023-04-29,,,,2023-04-29,32.733744454892,190652700.0,,2023-03-14,2023-03-15,45 days,1,2021-12-31,24.55
281,603179,2022-12-31,505,新泉股份,2023-03-28,2023-04-01,,,2023-04-01,65.749330422444,470751984.37,12.21,2023-03-13,2023-03-15,13 days,2,2021-12-31,7.99
283,603281,2022-12-31,2943,江瀚新材,2023-04-25,,,,2023-04-25,49.072877930512,1018948600.0,55.01,2023-02-27,2023-03-15,41 days,1,2021-12-31,68.16
284,603283,2022-12-31,506,赛腾股份,2023-03-28,,,,2023-03-28,63.54138381514,293310000.0,19.68,2023-03-13,2023-03-15,13 days,2,2021-12-31,13.89
285,603323,2022-12-31,4233,苏农银行,2023-04-28,,,,2023-04-28,29.357075513162,1501000000.0,10.57,2023-01-30,2023-03-15,44 days,1,2021-12-31,9.31
286,603368,2022-12-31,508,柳药集团,2023-03-28,,,,2023-03-28,22.791993881164,692322600.0,11.92,2023-02-28,2023-03-15,13 days,2,2021-12-31,10.69
287,603392,2022-12-31,246,万泰生物,2023-03-21,,,,2023-03-21,134.437843825414,4739085213.69,56.22,2023-01-20,2023-03-15,6 days,3,2021-12-31,58.2
288,603399,2022-12-31,731,吉翔股份,2023-03-30,,,,2023-03-30,2605.66699092238,492283362.06,24.31,2023-03-13,2023-03-15,15 days,2,2021-12-31,0.83
290,603529,2022-12-31,1646,爱玛科技,2023-04-15,,,,2023-04-15,177.886204754188,1845159100.0,30.75,2023-03-13,2023-03-15,31 days,1,2021-12-31,17.46
295,603878,2022-12-31,2961,武进不锈,2023-04-25,2023-04-05,,,2023-04-05,22.015126253949,215172793.98,8.55,2023-02-02,2023-03-15,41 days,1,2021-12-31,7.23
